Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
20,100000,50000,25000,1.0,0.0,0.1

Temperature,K,Spatial Spin Correlation
2.0,1,0.0029039490036666393
2.0,2,0.0006934237899258733
2.0,3,-0.0002144739410141483
2.0,4,-0.001003946177661419
2.0,5,-0.0009776292135939002
2.0,6,-0.001253944355994463
2.0,7,-0.001767099485732615
2.0,8,-0.002240784466266632
2.0,9,-0.0012144703650847077
2.1,1,0.0029039490036666393
2.1,2,0.0006934237899258733
2.1,3,-0.0002144739410141483
2.1,4,-0.001003946177661419
2.1,5,-0.0009776292135939002
2.1,6,-0.001253944355994463
2.1,7,-0.001767099485732615
2.1,8,-0.002240784466266632
2.1,9,-0.0012144703650847077
2.1,1,-4.34208704973571e-05
2.1,2,-0.0003065766068175435
2.1,3,-0.0008460491662845016
2.1,4,-0.0008197335409931839
2.1,5,-0.0005434189806692302
2.1,6,-0.0004776290734298527
2.1,7,-0.0002671050315257162
2.1,8,-0.0005302614299580455
2.1,9,-4.342132524470799e-05
2.2,1,0.0029039490036666393
2.2,2,0.0006934237899258733
2.2,3,-0.0002144739410141483
2.2,4,-0.001003946177661419
2.2,5,-0.0009776292135939002
2.2,6,-0.001253944355994463
2.2,7,-0.001767099485732615
2.2,8,-0.002240784466266632
2.2,9,-0.0012144703650847077
2.2,1,-4.34208704973571e-05
2.2,2,-0.0003065766068175435
2.2,3,-0.0008460491662845016
2.2,4,-0.0008197335409931839
2.2,5,-0.0005434189806692302
2.2,6,-0.0004776290734298527
2.2,7,-0.0002671050315257162
2.2,8,-0.0005302614299580455
2.2,9,-4.342132524470799e-05
2.2,1,0.01413947157561779
2.2,2,0.006494739558547735
2.2,3,0.0010605270508676767
2.2,4,-0.0015578942839056253
2.2,5,-0.00397894810885191
2.2,6,-0.0044131590984761715
2.2,7,-0.005557890050113201
2.2,8,-0.009452628903090954
2.2,9,-0.010347366333007812
2.3000000000000003,1,0.0029039490036666393
2.3000000000000003,2,0.0006934237899258733
2.3000000000000003,3,-0.0002144739410141483
2.3000000000000003,4,-0.001003946177661419
2.3000000000000003,5,-0.0009776292135939002
2.3000000000000003,6,-0.001253944355994463
2.3000000000000003,7,-0.001767099485732615
2.3000000000000003,8,-0.002240784466266632
2.3000000000000003,9,-0.0012144703650847077
2.3000000000000003,1,-4.34208704973571e-05
2.3000000000000003,2,-0.0003065766068175435
2.3000000000000003,3,-0.0008460491662845016
2.3000000000000003,4,-0.0008197335409931839
2.3000000000000003,5,-0.0005434189806692302
2.3000000000000003,6,-0.0004776290734298527
2.3000000000000003,7,-0.0002671050315257162
2.3000000000000003,8,-0.0005302614299580455
2.3000000000000003,9,-4.342132524470799e-05
2.3000000000000003,1,0.01413947157561779
2.3000000000000003,2,0.006494739558547735
2.3000000000000003,3,0.0010605270508676767
2.3000000000000003,4,-0.0015578942839056253
2.3000000000000003,5,-0.00397894810885191
2.3000000000000003,6,-0.0044131590984761715
2.3000000000000003,7,-0.005557890050113201
2.3000000000000003,8,-0.009452628903090954
2.3000000000000003,9,-0.010347366333007812
2.3000000000000003,1,0.005718420259654522
2.3000000000000003,2,0.00019210563914384693
2.3000000000000003,3,-0.0026763128116726875
2.3000000000000003,4,-0.004202629439532757
2.3000000000000003,5,-0.0034394708927720785
2.3000000000000003,6,-0.0021105241030454636
2.3000000000000003,7,-0.002557895379140973
2.3000000000000003,8,-0.0011894708732143044
2.3000000000000003,9,3.421094152145088e-05
2.4000000000000004,1,0.0029039490036666393
2.4000000000000004,2,0.0006934237899258733
2.4000000000000004,3,-0.0002144739410141483
2.4000000000000004,4,-0.001003946177661419
2.4000000000000004,5,-0.0009776292135939002
2.4000000000000004,6,-0.001253944355994463
2.4000000000000004,7,-0.001767099485732615
2.4000000000000004,8,-0.002240784466266632
2.4000000000000004,9,-0.0012144703650847077
2.4000000000000004,1,-4.34208704973571e-05
2.4000000000000004,2,-0.0003065766068175435
2.4000000000000004,3,-0.0008460491662845016
2.4000000000000004,4,-0.0008197335409931839
2.4000000000000004,5,-0.0005434189806692302
2.4000000000000004,6,-0.0004776290734298527
2.4000000000000004,7,-0.0002671050315257162
2.4000000000000004,8,-0.0005302614299580455
2.4000000000000004,9,-4.342132524470799e-05
2.4000000000000004,1,0.01413947157561779
2.4000000000000004,2,0.006494739558547735
2.4000000000000004,3,0.0010605270508676767
2.4000000000000004,4,-0.0015578942839056253
2.4000000000000004,5,-0.00397894810885191
2.4000000000000004,6,-0.0044131590984761715
2.4000000000000004,7,-0.005557890050113201
2.4000000000000004,8,-0.009452628903090954
2.4000000000000004,9,-0.010347366333007812
2.4000000000000004,1,0.005718420259654522
2.4000000000000004,2,0.00019210563914384693
2.4000000000000004,3,-0.0026763128116726875
2.4000000000000004,4,-0.004202629439532757
2.4000000000000004,5,-0.0034394708927720785
2.4000000000000004,6,-0.0021105241030454636
2.4000000000000004,7,-0.002557895379140973
2.4000000000000004,8,-0.0011894708732143044
2.4000000000000004,9,3.421094152145088e-05
2.4000000000000004,1,0.01786973886191845
2.4000000000000004,2,0.008343422785401344
2.4000000000000004,3,0.00015921019075904042
2.4000000000000004,4,-0.002643421059474349
2.4000000000000004,5,-0.006406575907021761
2.4000000000000004,6,-0.007117101456969976
2.4000000000000004,7,-0.007946047931909561
