Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
20,100000,50000,25000,1.0,0.0,0.1

Temperature,K,Spatial Spin Correlation
2.0,1,0.0016776383854448795
2.0,2,-0.0006776289083063602
2.0,3,-0.0009144702926278114
2.0,4,-0.0005723655922338367
2.0,5,-0.0008881546673364937
2.0,6,-0.0008749979315325618
2.0,7,-0.0009276284836232662
2.0,8,-0.0006513130501843989
2.0,9,-0.000611839524935931
2.1,1,0.0016776383854448795
2.1,2,-0.0006776289083063602
2.1,3,-0.0009144702926278114
2.1,4,-0.0005723655922338367
2.1,5,-0.0008881546673364937
2.1,6,-0.0008749979315325618
2.1,7,-0.0009276284836232662
2.1,8,-0.0006513130501843989
2.1,9,-0.000611839524935931
2.1,1,0.001485531684011221
2.1,2,-0.000474997767014429
2.1,3,-0.0007513136952184141
2.1,4,-0.0009092078544199467
2.1,5,-0.0007249971968121827
2.1,6,-0.0009355238289572299
2.1,7,-0.0003828929038718343
2.1,8,-0.00015921087469905615
2.1,9,-0.0007644725847057998
2.2,1,0.0016776383854448795
2.2,2,-0.0006776289083063602
2.2,3,-0.0009144702926278114
2.2,4,-0.0005723655922338367
2.2,5,-0.0008881546673364937
2.2,6,-0.0008749979315325618
2.2,7,-0.0009276284836232662
2.2,8,-0.0006513130501843989
2.2,9,-0.000611839524935931
2.2,1,0.001485531684011221
2.2,2,-0.000474997767014429
2.2,3,-0.0007513136952184141
2.2,4,-0.0009092078544199467
2.2,5,-0.0007249971968121827
2.2,6,-0.0009355238289572299
2.2,7,-0.0003828929038718343
2.2,8,-0.00015921087469905615
2.2,9,-0.0007644725847057998
2.2,1,0.005178955849260092
2.2,2,0.0011394777102395892
2.2,3,-0.0009526280919089913
2.2,4,-0.0017026258865371346
2.2,5,-0.001294730114750564
2.2,6,-0.0018078888533636928
2.2,7,-0.0023736825678497553
2.2,8,-0.002149993786588311
2.2,9,-0.0025973638985306025
2.3000000000000003,1,0.0016776383854448795
2.3000000000000003,2,-0.0006776289083063602
2.3000000000000003,3,-0.0009144702926278114
2.3000000000000003,4,-0.0005723655922338367
2.3000000000000003,5,-0.0008881546673364937
2.3000000000000003,6,-0.0008749979315325618
2.3000000000000003,7,-0.0009276284836232662
2.3000000000000003,8,-0.0006513130501843989
2.3000000000000003,9,-0.000611839524935931
2.3000000000000003,1,0.001485531684011221
2.3000000000000003,2,-0.000474997767014429
2.3000000000000003,3,-0.0007513136952184141
2.3000000000000003,4,-0.0009092078544199467
2.3000000000000003,5,-0.0007249971968121827
2.3000000000000003,6,-0.0009355238289572299
2.3000000000000003,7,-0.0003828929038718343
2.3000000000000003,8,-0.00015921087469905615
2.3000000000000003,9,-0.0007644725847057998
2.3000000000000003,1,0.005178955849260092
2.3000000000000003,2,0.0011394777102395892
2.3000000000000003,3,-0.0009526280919089913
2.3000000000000003,4,-0.0017026258865371346
2.3000000000000003,5,-0.001294730114750564
2.3000000000000003,6,-0.0018078888533636928
2.3000000000000003,7,-0.0023736825678497553
2.3000000000000003,8,-0.002149993786588311
2.3000000000000003,9,-0.0025973638985306025
2.3000000000000003,1,0.003992107231169939
2.3000000000000003,2,0.00042631771066226065
2.3000000000000003,3,1.84212185558863e-05
2.3000000000000003,4,-0.0013499966589733958
2.3000000000000003,5,-0.003205259796231985
2.3000000000000003,6,-0.002955258823931217
2.3000000000000003,7,-0.0027973658870905638
2.3000000000000003,8,-0.001942099304869771
2.3000000000000003,9,-0.0014684171183034778
2.4000000000000004,1,0.0016776383854448795
2.4000000000000004,2,-0.0006776289083063602
2.4000000000000004,3,-0.0009144702926278114
2.4000000000000004,4,-0.0005723655922338367
2.4000000000000004,5,-0.0008881546673364937
2.4000000000000004,6,-0.0008749979315325618
2.4000000000000004,7,-0.0009276284836232662
2.4000000000000004,8,-0.0006513130501843989
2.4000000000000004,9,-0.000611839524935931
2.4000000000000004,1,0.001485531684011221
2.4000000000000004,2,-0.000474997767014429
2.4000000000000004,3,-0.0007513136952184141
2.4000000000000004,4,-0.0009092078544199467
2.4000000000000004,5,-0.0007249971968121827
2.4000000000000004,6,-0.0009355238289572299
2.4000000000000004,7,-0.0003828929038718343
2.4000000000000004,8,-0.00015921087469905615
2.4000000000000004,9,-0.0007644725847057998
2.4000000000000004,1,0.005178955849260092
2.4000000000000004,2,0.0011394777102395892
2.4000000000000004,3,-0.0009526280919089913
2.4000000000000004,4,-0.0017026258865371346
2.4000000000000004,5,-0.001294730114750564
2.4000000000000004,6,-0.0018078888533636928
2.4000000000000004,7,-0.0023736825678497553
2.4000000000000004,8,-0.002149993786588311
2.4000000000000004,9,-0.0025973638985306025
2.4000000000000004,1,0.003992107231169939
2.4000000000000004,2,0.00042631771066226065
2.4000000000000004,3,1.84212185558863e-05
2.4000000000000004,4,-0.0013499966589733958
2.4000000000000004,5,-0.003205259796231985
2.4000000000000004,6,-0.002955258823931217
2.4000000000000004,7,-0.0027973658870905638
2.4000000000000004,8,-0.001942099304869771
2.4000000000000004,9,-0.0014684171183034778
2.4000000000000004,1,0.011406559497117996
2.4000000000000004,2,0.0024460600689053535
2.4000000000000004,3,-0.0015013141091912985
2.4000000000000004,4,-0.003803939325734973
2.4000000000000004,5,-0.004382888786494732
2.4000000000000004,6,-0.0050013125874102116
2.4000000000000004,7,-0.004382890183478594
2.4000000000000004,8,-0.0049355230294167995
2.4000000000000004,9,-0.004817101638764143
2.5000000000000004,1,0.0016776383854448795
2.5000000000000004,2,-0.0006776289083063602
2.5000000000000004,3,-0.0009144702926278114
2.5000000000000004,4,-0.0005723655922338367
2.5000000000000004,5,-0.0008881546673364937
2.5000000000000004,6,-0.0008749979315325618
2.5000000000000004,7,-0.0009276284836232662
2.5000000000000004,8,-0.0006513130501843989
2.5000000000000004,9,-0.000611839524935931
2.5000000000000004,1,0.001485531684011221
2.5000000000000004,2,-0.000474997767014429
2.5000000000000004,3,-0.0007513136952184141
2.5000000000000004,4,-0.0009092078544199467
2.5000000000000004,5,-0.0007249971968121827
2.5000000000000004,6,-0.0009355238289572299
2.5000000000000004,7,-0.0003828929038718343
2.5000000000000004,8,-0.00015921087469905615
