Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
20,100000,50000,25000,1.0,0.0,0.1

Temperature,Magnetizatio n Mean,Magnetization Std Dev,Energy Mean,Energy Std Dev
2.0,0.0009878000072948635,0.05030725859729618,0.00045320000488311053,0.0708693346816925
2.01,0.000239799997061491,0.04951598205978376,0.0001971999890729785,0.07033423846559878
2.0199999999999996,0.0002015999925881624,0.050226998133554086,-0.0007815999940782786,0.07072321467175864
2.0299999999999994,0.000194000012781471,0.05044381411423124,0.0004970000024884939,0.07101263957719561
2.039999999999999,0.002802799989320338,0.0495903649407165,0.0004281999920681119,0.07172304116256371
2.049999999999999,0.0019513999946787954,0.04998201697469222,-0.00016559998542070388,0.07116600709232414
2.0599999999999987,0.0021023999998159705,0.050128833347534985,0.0001729999827221036,0.071201095898464
2.0699999999999985,0.0033044000044837596,0.04975593388506076,-0.0008266000008955598,0.07056550661011972
2.0799999999999983,0.0024798000098019838,0.05005096011464465,0.0003472000069916248,0.07114286640885197
2.089999999999998,0.0020635999990440907,0.049729845887287565,-0.00015619999453425406,0.07049020917144329
2.099999999999998,0.0027305999893322587,0.049946589534869634,-0.00027019998371601104,0.07139734574738772
2.1099999999999977,0.001672199991196394,0.04962960538285534,0.0010232000062614678,0.07030753195017529
2.1199999999999974,0.0021798000090569257,0.050345848746234774,-0.0002232000070810318,0.07035957769308339
2.1299999999999972,0.0038502000120840965,0.05024806441458709,0.000949799997471273,0.07122875730337226
2.139999999999997,0.0032688000180572272,0.050050044582530186,-0.0007599999938905239,0.07037688816368125
2.149999999999997,0.0029526000104658306,0.049988860461261254,-0.00012960000194609165,0.07093647290860555
2.1599999999999966,0.0021559999952837825,0.05019282466579012,-0.00036919999796897174,0.0706844514504445
2.1699999999999964,0.0013986000046133996,0.04964522067395444,-0.0010589999971166253,0.07070315769289014
2.179999999999996,0.002233199993595481,0.04973514655692893,0.0013315999987348914,0.07078436853055907
2.189999999999996,0.003049599994495511,0.04956478509367981,-0.00022340001445263625,0.0706384320185254
2.1999999999999957,0.0038508000062033535,0.05005736064134437,-0.00016819998014718293,0.0709975612041845
2.2099999999999955,0.0032538000046275556,0.04944116505124525,0.00025059999965131285,0.07051994885981788
2.2199999999999953,0.0011083999997749925,0.04969454160889415,-0.0003950000012293458,0.07139651225044244
2.229999999999995,0.003813600007519126,0.049896537674971736,0.0005612000070884823,0.07067829258249617
2.239999999999995,0.0023258000101149083,0.04963988992136834,0.0005561999943852425,0.07067429963351564
2.2499999999999947,0.00144119999229908,0.049607327352051374,0.0004041999892517924,0.07070204110027332
2.2599999999999945,0.002166599994301796,0.049942445155538855,0.0003820000023022294,0.0713213156476018
2.2699999999999942,0.0026481999987736345,0.0505690325464323,-0.0024507999816909434,0.07082847991448776
2.279999999999994,0.002245400007367134,0.05051223806642755,-0.0005630000096932054,0.07054792002153586
2.289999999999994,0.002878600005991757,0.04986146485122533,0.0005593999898061157,0.07077477700238442
