Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
20,100000,50000,25000,1.0,0.0,0.1

Temperature,K,Spatial Spin Correlation
2.0,1,0.0012684239773079753
2.0,2,-0.000613157288171351
2.0,3,-0.0006394727388396859
2.0,4,-0.0007578920922242105
2.0,5,-0.0005473679630085826
2.0,6,-0.0005473679048009217
2.0,7,-0.000613157288171351
2.0,8,-0.0009026293992064893
2.0,9,-0.0003631575091276318
2.01,1,0.0012684239773079753
2.01,2,-0.000613157288171351
2.01,3,-0.0006394727388396859
2.01,4,-0.0007578920922242105
2.01,5,-0.0005473679630085826
2.01,6,-0.0005473679048009217
2.01,7,-0.000613157288171351
2.01,8,-0.0009026293992064893
2.01,9,-0.0003631575091276318
2.01,1,0.0024447350297123194
2.01,2,0.00010263180593028665
2.01,3,-0.00016052494174800813
2.01,4,-0.0009236815385520458
2.01,5,-0.0012131548719480634
2.01,6,-0.0013052598806098104
2.01,7,-0.0012657858897000551
2.01,8,-0.0012394700897857547
2.01,9,-0.0012131542898714542
2.0199999999999996,1,0.0012684239773079753
2.0199999999999996,2,-0.000613157288171351
2.0199999999999996,3,-0.0006394727388396859
2.0199999999999996,4,-0.0007578920922242105
2.0199999999999996,5,-0.0005473679630085826
2.0199999999999996,6,-0.0005473679048009217
2.0199999999999996,7,-0.000613157288171351
2.0199999999999996,8,-0.0009026293992064893
2.0199999999999996,9,-0.0003631575091276318
2.0199999999999996,1,0.0024447350297123194
2.0199999999999996,2,0.00010263180593028665
2.0199999999999996,3,-0.00016052494174800813
2.0199999999999996,4,-0.0009236815385520458
2.0199999999999996,5,-0.0012131548719480634
2.0199999999999996,6,-0.0013052598806098104
2.0199999999999996,7,-0.0012657858897000551
2.0199999999999996,8,-0.0012394700897857547
2.0199999999999996,9,-0.0012131542898714542
2.0199999999999996,1,0.000763160060159862
2.0199999999999996,2,-0.0008157877018675208
2.0199999999999996,3,-0.0007368396618403494
2.0199999999999996,4,-0.00048684090143069625
2.0199999999999996,5,-0.0007894709706306458
2.0199999999999996,6,-0.000763156043831259
2.0199999999999996,7,-0.00021052677766419947
2.0199999999999996,8,-0.0007894709124229848
2.0199999999999996,9,-0.0007105246186256409
2.0299999999999994,1,0.0012684239773079753
2.0299999999999994,2,-0.000613157288171351
2.0299999999999994,3,-0.0006394727388396859
2.0299999999999994,4,-0.0007578920922242105
2.0299999999999994,5,-0.0005473679630085826
2.0299999999999994,6,-0.0005473679048009217
2.0299999999999994,7,-0.000613157288171351
2.0299999999999994,8,-0.0009026293992064893
2.0299999999999994,9,-0.0003631575091276318
2.0299999999999994,1,0.0024447350297123194
2.0299999999999994,2,0.00010263180593028665
2.0299999999999994,3,-0.00016052494174800813
2.0299999999999994,4,-0.0009236815385520458
2.0299999999999994,5,-0.0012131548719480634
2.0299999999999994,6,-0.0013052598806098104
2.0299999999999994,7,-0.0012657858897000551
2.0299999999999994,8,-0.0012394700897857547
2.0299999999999994,9,-0.0012131542898714542
2.0299999999999994,1,0.000763160060159862
2.0299999999999994,2,-0.0008157877018675208
2.0299999999999994,3,-0.0007368396618403494
2.0299999999999994,4,-0.00048684090143069625
2.0299999999999994,5,-0.0007894709706306458
2.0299999999999994,6,-0.000763156043831259
2.0299999999999994,7,-0.00021052677766419947
2.0299999999999994,8,-0.0007894709124229848
2.0299999999999994,9,-0.0007105246186256409
2.0299999999999994,1,0.0012026348849758506
2.0299999999999994,2,-0.0006263138493523002
2.0299999999999994,3,-0.0006657870253548026
2.0299999999999994,4,-0.00044210473424755037
2.0299999999999994,5,-0.0006526291253976524
2.0299999999999994,6,-0.0008236812427639961
2.0299999999999994,7,-0.0006394714582711458
2.0299999999999994,8,-0.0007052605506032705
2.0299999999999994,9,-0.0006394710508175194
2.039999999999999,1,0.0012684239773079753
2.039999999999999,2,-0.000613157288171351
2.039999999999999,3,-0.0006394727388396859
2.039999999999999,4,-0.0007578920922242105
2.039999999999999,5,-0.0005473679630085826
2.039999999999999,6,-0.0005473679048009217
2.039999999999999,7,-0.000613157288171351
2.039999999999999,8,-0.0009026293992064893
2.039999999999999,9,-0.0003631575091276318
2.039999999999999,1,0.0024447350297123194
2.039999999999999,2,0.00010263180593028665
2.039999999999999,3,-0.00016052494174800813
2.039999999999999,4,-0.0009236815385520458
2.039999999999999,5,-0.0012131548719480634
2.039999999999999,6,-0.0013052598806098104
2.039999999999999,7,-0.0012657858897000551
2.039999999999999,8,-0.0012394700897857547
2.039999999999999,9,-0.0012131542898714542
2.039999999999999,1,0.000763160060159862
2.039999999999999,2,-0.0008157877018675208
2.039999999999999,3,-0.0007368396618403494
2.039999999999999,4,-0.00048684090143069625
2.039999999999999,5,-0.0007894709706306458
2.039999999999999,6,-0.000763156043831259
2.039999999999999,7,-0.00021052677766419947
2.039999999999999,8,-0.0007894709124229848
2.039999999999999,9,-0.0007105246186256409
2.039999999999999,1,0.0012026348849758506
2.039999999999999,2,-0.0006263138493523002
2.039999999999999,3,-0.0006657870253548026
2.039999999999999,4,-0.00044210473424755037
2.039999999999999,5,-0.0006526291253976524
2.039999999999999,6,-0.0008236812427639961
2.039999999999999,7,-0.0006394714582711458
2.039999999999999,8,-0.0007052605506032705
2.039999999999999,9,-0.0006394710508175194
2.039999999999999,1,0.00043947406811639667
2.039999999999999,2,-0.00012631517893169075
2.039999999999999,3,-0.0003894731344189495
2.039999999999999,4,-0.00040263065602630377
2.039999999999999,5,-0.0003894727269653231
2.039999999999999,6,-0.0004026306269224733
2.039999999999999,7,-0.000363157014362514
2.039999999999999,8,-0.0004026306269224733
2.039999999999999,9,-0.00013947398110758513
2.049999999999999,1,0.0012684239773079753
2.049999999999999,2,-0.000613157288171351
2.049999999999999,3,-0.0006394727388396859
2.049999999999999,4,-0.0007578920922242105
2.049999999999999,5,-0.0005473679630085826
2.049999999999999,6,-0.0005473679048009217
2.049999999999999,7,-0.000613157288171351
2.049999999999999,8,-0.0009026293992064893
2.049999999999999,9,-0.0003631575091276318
2.049999999999999,1,0.0024447350297123194
2.049999999999999,2,0.00010263180593028665
2.049999999999999,3,-0.00016052494174800813
2.049999999999999,4,-0.0009236815385520458
2.049999999999999,5,-0.0012131548719480634
2.049999999999999,6,-0.0013052598806098104
