Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
20,100000,50000,25000,1.0,0.0,0.1

1.03,0.9991239008355141,0.0021484738736555734,-1.9965478032851218,0.008368045324402574,0.0003895380858370904,0.0014538816536314773
1.02,0.9991956007671356,0.0020683163395572883,-1.9968470030045509,0.00797975374716228,0.00042892631936338637,0.0015357737485439836
1.01,0.9992535007119179,0.0020067959708593313,-1.997062402780056,0.007788093088381249,0.0004807885667157383,0.001758229758162199
1.0,0.9992986006689072,0.0019444872918704568,-1.9972462026262283,0.007512022226221851,0.0004570947586614249,0.0016376253477785557
1.07,0.9988007011437416,0.0025754935174098505,-1.9953426044273377,0.009767212765103445,0.0004547607694836896,0.0015150526184266337
1.06,0.9989105010390281,0.0024144313266556156,-1.9957120040655136,0.009396003977388028,0.00047203326609608935,0.001759042851725681
1.04,0.9988873010611534,0.0024830197241344676,-1.995662204120159,0.009475933854670316,0.0005020115969708998,0.0016457245081674065
1.05,0.9988696010780335,0.0025189648146619996,-1.995576404185295,0.009705853272039705,0.0003757163962428671,0.0013251446336841693
1.08,0.9985566013765335,0.002806168459021377,-1.9943888052940368,0.010711032801635585,0.00044281259802728996,0.0015577660694802223
1.09,0.9985411013901234,0.002936851106011808,-1.994320805234909,0.011168817153320758,0.0005680359739066858,0.0019304035268032079
1.11,0.9984157015109062,0.0030090656755764602,-1.9938362057948114,0.01144925021241438,0.0005054244954703908,0.0016940911651033043
1.1,0.9983751015496254,0.003071836908412527,-1.9936926058912277,0.011634193802724286,0.0005693344801782132,0.0020029392711932367
1.12,0.9981404017722607,0.003204195427324576,-1.9927380067777634,0.01226324140110808,0.0005264833372845146,0.0018452073554868313
1.1400000000000001,0.9978298020517826,0.0036634966431454575,-1.9916734075880052,0.013540067739458952,0.0007922977211011472,0.0023704309824226035
1.1300000000000001,0.9980420018672943,0.003264539121062142,-1.9923918071436881,0.012428234508157363,0.00046239613192645496,0.0015278898954291565
1.1500000000000001,0.9978476020526886,0.003529043848630832,-1.9916808076143264,0.013285880389357699,0.0005129150871378675,0.001705061296388234
1.1600000000000001,0.9976182022714615,0.0037733276564762114,-1.990805008430481,0.014181030911127653,0.0006177765848701195,0.002146350484748132
1.1700000000000002,0.9975519023132324,0.003725222351547148,-1.990542808713913,0.013935316331206043,0.0007383996371921202,0.0021704237486098407
1.1800000000000002,0.9972540026092529,0.003964650638109897,-1.9893964096403123,0.014819018580745275,0.0006493568279963663,0.0019694035707193054
1.1900000000000002,0.9971420027256012,0.004018433177304528,-1.988982010025978,0.015109047107631734,0.000544311082859863,0.0019240895580796334
