Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
20,100000,50000,25000,1.0,0.0,0.1

Temperature,K,Spatial Spin Correlation
2.0,1,-0.0003039464936591685
2.0,2,-0.00030394631903618574
2.0,3,-4.0789618651615456e-05
2.0,4,-1.3159157106201747e-06
2.0,5,-4.078958590980619e-05
2.0,6,-0.00026447343407198787
2.0,7,-0.00025131599977612495
2.0,8,-4.078961137565784e-05
2.0,9,-0.00027763150865212083
2.1,1,-0.0003039464936591685
2.1,2,-0.00030394631903618574
2.1,3,-4.0789618651615456e-05
2.1,4,-1.3159157106201747e-06
2.1,5,-4.078958590980619e-05
2.1,6,-0.00026447343407198787
2.1,7,-0.00025131599977612495
2.1,8,-4.078961137565784e-05
2.1,9,-0.00027763150865212083
2.1,1,0.00010921182547463104
2.1,2,-0.00010131594899576157
2.1,3,0.0001223681028932333
2.1,4,-0.00040394754614681005
2.1,5,-0.00041710532968863845
2.1,6,-0.00044342095497995615
2.1,7,-0.0004434207803569734
2.1,8,-0.00015394760703202337
2.1,9,-0.00044342060573399067
2.2,1,-0.0003039464936591685
2.2,2,-0.00030394631903618574
2.2,3,-4.0789618651615456e-05
2.2,4,-1.3159157106201747e-06
2.2,5,-4.078958590980619e-05
2.2,6,-0.00026447343407198787
2.2,7,-0.00025131599977612495
2.2,8,-4.078961137565784e-05
2.2,9,-0.00027763150865212083
2.2,1,0.00010921182547463104
2.2,2,-0.00010131594899576157
2.2,3,0.0001223681028932333
2.2,4,-0.00040394754614681005
2.2,5,-0.00041710532968863845
2.2,6,-0.00044342095497995615
2.2,7,-0.0004434207803569734
2.2,8,-0.00015394760703202337
2.2,9,-0.00044342060573399067
2.2,1,0.001323686446994543
2.2,2,-0.0004657881218008697
2.2,3,-0.00011052647460019216
2.2,4,-0.000531578145455569
2.2,5,-0.001149998395703733
2.2,6,-0.0011499981628730893
2.2,7,-0.00108420813921839
2.2,8,-0.001057892688550055
2.2,9,-0.0006368420436047018
2.3000000000000003,1,-0.0003039464936591685
2.3000000000000003,2,-0.00030394631903618574
2.3000000000000003,3,-4.0789618651615456e-05
2.3000000000000003,4,-1.3159157106201747e-06
2.3000000000000003,5,-4.078958590980619e-05
2.3000000000000003,6,-0.00026447343407198787
2.3000000000000003,7,-0.00025131599977612495
2.3000000000000003,8,-4.078961137565784e-05
2.3000000000000003,9,-0.00027763150865212083
2.3000000000000003,1,0.00010921182547463104
2.3000000000000003,2,-0.00010131594899576157
2.3000000000000003,3,0.0001223681028932333
2.3000000000000003,4,-0.00040394754614681005
2.3000000000000003,5,-0.00041710532968863845
2.3000000000000003,6,-0.00044342095497995615
2.3000000000000003,7,-0.0004434207803569734
2.3000000000000003,8,-0.00015394760703202337
2.3000000000000003,9,-0.00044342060573399067
2.3000000000000003,1,0.001323686446994543
2.3000000000000003,2,-0.0004657881218008697
2.3000000000000003,3,-0.00011052647460019216
2.3000000000000003,4,-0.000531578145455569
2.3000000000000003,5,-0.001149998395703733
2.3000000000000003,6,-0.0011499981628730893
2.3000000000000003,7,-0.00108420813921839
2.3000000000000003,8,-0.001057892688550055
2.3000000000000003,9,-0.0006368420436047018
2.3000000000000003,1,0.010973650962114334
2.3000000000000003,2,0.0034473706036806107
2.3000000000000003,3,0.00014473761257249862
2.3000000000000003,4,-0.0018157876329496503
2.3000000000000003,5,-0.005394734442234039
2.3000000000000003,6,-0.0031447354704141617
2.3000000000000003,7,-0.00385526311583817
2.3000000000000003,8,-0.006552631035447121
2.3000000000000003,9,-0.007249998860061169
2.4000000000000004,1,-0.0003039464936591685
2.4000000000000004,2,-0.00030394631903618574
2.4000000000000004,3,-4.0789618651615456e-05
2.4000000000000004,4,-1.3159157106201747e-06
2.4000000000000004,5,-4.078958590980619e-05
2.4000000000000004,6,-0.00026447343407198787
2.4000000000000004,7,-0.00025131599977612495
2.4000000000000004,8,-4.078961137565784e-05
2.4000000000000004,9,-0.00027763150865212083
2.4000000000000004,1,0.00010921182547463104
2.4000000000000004,2,-0.00010131594899576157
2.4000000000000004,3,0.0001223681028932333
2.4000000000000004,4,-0.00040394754614681005
2.4000000000000004,5,-0.00041710532968863845
2.4000000000000004,6,-0.00044342095497995615
2.4000000000000004,7,-0.0004434207803569734
2.4000000000000004,8,-0.00015394760703202337
2.4000000000000004,9,-0.00044342060573399067
2.4000000000000004,1,0.001323686446994543
2.4000000000000004,2,-0.0004657881218008697
2.4000000000000004,3,-0.00011052647460019216
2.4000000000000004,4,-0.000531578145455569
2.4000000000000004,5,-0.001149998395703733
2.4000000000000004,6,-0.0011499981628730893
2.4000000000000004,7,-0.00108420813921839
2.4000000000000004,8,-0.001057892688550055
2.4000000000000004,9,-0.0006368420436047018
2.4000000000000004,1,0.010973650962114334
2.4000000000000004,2,0.0034473706036806107
2.4000000000000004,3,0.00014473761257249862
2.4000000000000004,4,-0.0018157876329496503
2.4000000000000004,5,-0.005394734442234039
2.4000000000000004,6,-0.0031447354704141617
2.4000000000000004,7,-0.00385526311583817
2.4000000000000004,8,-0.006552631035447121
2.4000000000000004,9,-0.007249998860061169
2.4000000000000004,1,0.00815658550709486
2.4000000000000004,2,0.001959217246621847
2.4000000000000004,3,-0.0014223667094483972
2.4000000000000004,4,-0.003488152287900448
2.4000000000000004,5,-0.003488152055069804
2.4000000000000004,6,-0.003211837261915207
2.4000000000000004,7,-0.0037381532602012157
2.4000000000000004,8,-0.0032118377275764942
2.4000000000000004,9,-0.0028302574064582586
2.5000000000000004,1,-0.0003039464936591685
2.5000000000000004,2,-0.00030394631903618574
2.5000000000000004,3,-4.0789618651615456e-05
2.5000000000000004,4,-1.3159157106201747e-06
2.5000000000000004,5,-4.078958590980619e-05
2.5000000000000004,6,-0.00026447343407198787
2.5000000000000004,7,-0.00025131599977612495
2.5000000000000004,8,-4.078961137565784e-05
2.5000000000000004,9,-0.00027763150865212083
2.5000000000000004,1,0.00010921182547463104
2.5000000000000004,2,-0.00010131594899576157
2.5000000000000004,3,0.0001223681028932333
2.5000000000000004,4,-0.00040394754614681005
2.5000000000000004,5,-0.00041710532968863845
2.5000000000000004,6,-0.00044342095497995615
2.5000000000000004,7,-0.0004434207803569734
2.5000000000000004,8,-0.00015394760703202337
2.5000000000000004,9,-0.00044342060573399067
2.5000000000000004,1,0.001323686446994543
2.5000000000000004,2,-0.0004657881218008697
2.5000000000000004,3,-0.00011052647460019216
2.5000000000000004,4,-0.000531578145455569
2.5000000000000004,5,-0.001149998395703733
2.5000000000000004,6,-0.0011499981628730893
2.5000000000000004,7,-0.00108420813921839
2.5000000000000004,8,-0.001057892688550055
2.5000000000000004,9,-0.0006368420436047018
2.5000000000000004,1,0.010973650962114334
2.5000000000000004,2,0.0034473706036806107
2.5000000000000004,3,0.00014473761257249862
2.5000000000000004,4,-0.0018157876329496503
2.5000000000000004,5,-0.005394734442234039
2.5000000000000004,6,-0.0031447354704141617
2.5000000000000004,7,-0.00385526311583817
2.5000000000000004,8,-0.006552631035447121
2.5000000000000004,9,-0.007249998860061169
2.5000000000000004,1,0.00815658550709486
2.5000000000000004,2,0.001959217246621847
2.5000000000000004,3,-0.0014223667094483972
2.5000000000000004,4,-0.003488152287900448
2.5000000000000004,5,-0.003488152055069804
2.5000000000000004,6,-0.003211837261915207
2.5000000000000004,7,-0.0037381532602012157
2.5000000000000004,8,-0.0032118377275764942
2.5000000000000004,9,-0.0028302574064582586
2.5000000000000004,1,0.016886835917830467
2.5000000000000004,2,0.0063736895099282265
2.5000000000000004,3,0.0017289493698626757
2.5000000000000004,4,-0.004218419082462788
2.5000000000000004,5,-0.004139469936490059
2.5000000000000004,6,-0.00653420714661479
2.5000000000000004,7,-0.007349995896220207
2.5000000000000004,8,-0.008336841128766537
2.5000000000000004,9,-0.009836850687861443
2.6000000000000005,1,-0.0003039464936591685
2.6000000000000005,2,-0.00030394631903618574
2.6000000000000005,3,-4.0789618651615456e-05
2.6000000000000005,4,-1.3159157106201747e-06
2.6000000000000005,5,-4.078958590980619e-05
2.6000000000000005,6,-0.00026447343407198787
2.6000000000000005,7,-0.00025131599977612495
2.6000000000000005,8,-4.078961137565784e-05
2.6000000000000005,9,-0.00027763150865212083
2.6000000000000005,1,0.00010921182547463104
2.6000000000000005,2,-0.00010131594899576157
2.6000000000000005,3,0.0001223681028932333
2.6000000000000005,4,-0.00040394754614681005
2.6000000000000005,5,-0.00041710532968863845
2.6000000000000005,6,-0.00044342095497995615
2.6000000000000005,7,-0.0004434207803569734
2.6000000000000005,8,-0.00015394760703202337
2.6000000000000005,9,-0.00044342060573399067
2.6000000000000005,1,0.001323686446994543
2.6000000000000005,2,-0.0004657881218008697
2.6000000000000005,3,-0.00011052647460019216
2.6000000000000005,4,-0.000531578145455569
2.6000000000000005,5,-0.001149998395703733
2.6000000000000005,6,-0.0011499981628730893
2.6000000000000005,7,-0.00108420813921839
2.6000000000000005,8,-0.001057892688550055
2.6000000000000005,9,-0.0006368420436047018
2.6000000000000005,1,0.010973650962114334
2.6000000000000005,2,0.0034473706036806107
2.6000000000000005,3,0.00014473761257249862
2.6000000000000005,4,-0.0018157876329496503
2.6000000000000005,5,-0.005394734442234039
2.6000000000000005,6,-0.0031447354704141617
2.6000000000000005,7,-0.00385526311583817
2.6000000000000005,8,-0.006552631035447121
2.6000000000000005,9,-0.007249998860061169
2.6000000000000005,1,0.00815658550709486
2.6000000000000005,2,0.001959217246621847
2.6000000000000005,3,-0.0014223667094483972
2.6000000000000005,4,-0.003488152287900448
2.6000000000000005,5,-0.003488152055069804
2.6000000000000005,6,-0.003211837261915207
2.6000000000000005,7,-0.0037381532602012157
2.6000000000000005,8,-0.0032118377275764942
2.6000000000000005,9,-0.0028302574064582586
2.6000000000000005,1,0.016886835917830467
2.6000000000000005,2,0.0063736895099282265
2.6000000000000005,3,0.0017289493698626757
2.6000000000000005,4,-0.004218419082462788
2.6000000000000005,5,-0.004139469936490059
2.6000000000000005,6,-0.00653420714661479
2.6000000000000005,7,-0.007349995896220207
2.6000000000000005,8,-0.008336841128766537
2.6000000000000005,9,-0.009836850687861443
2.6000000000000005,1,0.012580265291035175
2.6000000000000005,2,0.001435525598935783
2.6000000000000005,3,-0.0021302623208612204
2.6000000000000005,4,-0.0021302620880305767
2.6000000000000005,5,-0.0030250009149312973
2.6000000000000005,6,-0.0028407927602529526
2.6000000000000005,7,-0.004367107059806585
2.6000000000000005,8,-0.007432885002344847
2.6000000000000005,9,-0.006353945005685091
