Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
10,100000,50000,25000,1.0,0.0,0.1

Temperature,Magnetization Mean,Magnetization Std Dev,Energy Mean,Energy Std Dev,M_std_std,E_std_std
2.0,0.09566319980926812,0.8974515231474349,-1.7117319921898841,0.18742146690364542,0.4027096181998255,0.003464018151379115,0.008781701564078563,0.000392553412018527,0.402203695929505,0.008774471272993772
