Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
20,100000,50000,25000,1.0,0.0,0.1

Temperature,K,Spatial Spin Correlation
2.0,1,0.0010000005131587386
2.0,2,-0.0005789472488686442
2.0,3,-5.2630923164542764e-05
2.0,4,4.7056299828929227e-11
2.0,5,-0.0005789468414150178
2.0,6,-0.000842104316689074
2.0,7,-0.0010789460502564907
2.0,8,-0.0008289459510706365
2.0,9,-0.0008026299183256924
2.1,1,0.0010000005131587386
2.1,2,-0.0005789472488686442
2.1,3,-5.2630923164542764e-05
2.1,4,4.7056299828929227e-11
2.1,5,-0.0005789468414150178
2.1,6,-0.000842104316689074
2.1,7,-0.0010789460502564907
2.1,8,-0.0008289459510706365
2.1,9,-0.0008026299183256924
2.1,1,-6.973709969315678e-05
2.1,2,-0.0005828941939398646
2.1,3,-0.0005828941357322037
2.1,4,-8.289491961477324e-05
2.1,5,0.00020657878485508263
2.1,6,-9.605226659914479e-05
2.1,7,-0.0006223672535270452
2.1,8,-0.0005828934954479337
2.1,9,-0.00035921059316024184
2.2,1,0.0010000005131587386
2.2,2,-0.0005789472488686442
2.2,3,-5.2630923164542764e-05
2.2,4,4.7056299828929227e-11
2.2,5,-0.0005789468414150178
2.2,6,-0.000842104316689074
2.2,7,-0.0010789460502564907
2.2,8,-0.0008289459510706365
2.2,9,-0.0008026299183256924
2.2,1,-6.973709969315678e-05
2.2,2,-0.0005828941939398646
2.2,3,-0.0005828941357322037
2.2,4,-8.289491961477324e-05
2.2,5,0.00020657878485508263
2.2,6,-9.605226659914479e-05
2.2,7,-0.0006223672535270452
2.2,8,-0.0005828934954479337
2.2,9,-0.00035921059316024184
2.2,1,0.001892110682092607
2.2,2,-0.0004499988863244653
2.2,3,-0.0009236816549673676
2.2,4,-0.0009763128473423421
2.2,5,-0.0010289427591487765
2.2,6,-0.001015784451738
2.2,7,-0.0012394677614793181
2.2,8,-0.0006736802170053124
2.2,9,-0.0006210494902916253
2.3000000000000003,1,0.0010000005131587386
2.3000000000000003,2,-0.0005789472488686442
2.3000000000000003,3,-5.2630923164542764e-05
2.3000000000000003,4,4.7056299828929227e-11
2.3000000000000003,5,-0.0005789468414150178
2.3000000000000003,6,-0.000842104316689074
2.3000000000000003,7,-0.0010789460502564907
2.3000000000000003,8,-0.0008289459510706365
2.3000000000000003,9,-0.0008026299183256924
2.3000000000000003,1,-6.973709969315678e-05
2.3000000000000003,2,-0.0005828941939398646
2.3000000000000003,3,-0.0005828941357322037
2.3000000000000003,4,-8.289491961477324e-05
2.3000000000000003,5,0.00020657878485508263
2.3000000000000003,6,-9.605226659914479e-05
2.3000000000000003,7,-0.0006223672535270452
2.3000000000000003,8,-0.0005828934954479337
2.3000000000000003,9,-0.00035921059316024184
2.3000000000000003,1,0.001892110682092607
2.3000000000000003,2,-0.0004499988863244653
2.3000000000000003,3,-0.0009236816549673676
2.3000000000000003,4,-0.0009763128473423421
2.3000000000000003,5,-0.0010289427591487765
2.3000000000000003,6,-0.001015784451738
2.3000000000000003,7,-0.0012394677614793181
2.3000000000000003,8,-0.0006736802170053124
2.3000000000000003,9,-0.0006210494902916253
2.3000000000000003,1,0.014981561340391636
2.3000000000000003,2,0.004389478825032711
2.3000000000000003,3,0.0006131599075160921
2.3000000000000003,4,-0.002215786138549447
2.3000000000000003,5,-0.004623682703822851
2.3000000000000003,6,-0.006623677909374237
2.3000000000000003,7,-0.006571045145392418
2.3000000000000003,8,-0.007057887967675924
2.3000000000000003,9,-0.008465781807899475
2.4000000000000004,1,0.0010000005131587386
2.4000000000000004,2,-0.0005789472488686442
2.4000000000000004,3,-5.2630923164542764e-05
2.4000000000000004,4,4.7056299828929227e-11
2.4000000000000004,5,-0.0005789468414150178
2.4000000000000004,6,-0.000842104316689074
2.4000000000000004,7,-0.0010789460502564907
2.4000000000000004,8,-0.0008289459510706365
2.4000000000000004,9,-0.0008026299183256924
2.4000000000000004,1,-6.973709969315678e-05
2.4000000000000004,2,-0.0005828941939398646
2.4000000000000004,3,-0.0005828941357322037
2.4000000000000004,4,-8.289491961477324e-05
2.4000000000000004,5,0.00020657878485508263
2.4000000000000004,6,-9.605226659914479e-05
2.4000000000000004,7,-0.0006223672535270452
2.4000000000000004,8,-0.0005828934954479337
2.4000000000000004,9,-0.00035921059316024184
2.4000000000000004,1,0.001892110682092607
2.4000000000000004,2,-0.0004499988863244653
2.4000000000000004,3,-0.0009236816549673676
2.4000000000000004,4,-0.0009763128473423421
2.4000000000000004,5,-0.0010289427591487765
2.4000000000000004,6,-0.001015784451738
2.4000000000000004,7,-0.0012394677614793181
2.4000000000000004,8,-0.0006736802170053124
2.4000000000000004,9,-0.0006210494902916253
2.4000000000000004,1,0.014981561340391636
2.4000000000000004,2,0.004389478825032711
2.4000000000000004,3,0.0006131599075160921
2.4000000000000004,4,-0.002215786138549447
2.4000000000000004,5,-0.004623682703822851
2.4000000000000004,6,-0.006623677909374237
2.4000000000000004,7,-0.006571045145392418
2.4000000000000004,8,-0.007057887967675924
2.4000000000000004,9,-0.008465781807899475
2.4000000000000004,1,0.018346058204770088
2.4000000000000004,2,0.009043415077030659
2.4000000000000004,3,0.003977638203650713
2.4000000000000004,4,-0.0010092105949297547
2.4000000000000004,5,-0.006140786688774824
2.4000000000000004,6,-0.008272363804280758
2.4000000000000004,7,-0.007667099591344595
2.4000000000000004,8,-0.010311850346624851
2.4000000000000004,9,-0.00999605841934681
2.5000000000000004,1,0.0010000005131587386
2.5000000000000004,2,-0.0005789472488686442
2.5000000000000004,3,-5.2630923164542764e-05
2.5000000000000004,4,4.7056299828929227e-11
2.5000000000000004,5,-0.0005789468414150178
2.5000000000000004,6,-0.000842104316689074
2.5000000000000004,7,-0.0010789460502564907
2.5000000000000004,8,-0.0008289459510706365
2.5000000000000004,9,-0.0008026299183256924
2.5000000000000004,1,-6.973709969315678e-05
2.5000000000000004,2,-0.0005828941939398646
2.5000000000000004,3,-0.0005828941357322037
2.5000000000000004,4,-8.289491961477324e-05
2.5000000000000004,5,0.00020657878485508263
2.5000000000000004,6,-9.605226659914479e-05
2.5000000000000004,7,-0.0006223672535270452
2.5000000000000004,8,-0.0005828934954479337
2.5000000000000004,9,-0.00035921059316024184
2.5000000000000004,1,0.001892110682092607
2.5000000000000004,2,-0.0004499988863244653
2.5000000000000004,3,-0.0009236816549673676
2.5000000000000004,4,-0.0009763128473423421
2.5000000000000004,5,-0.0010289427591487765
2.5000000000000004,6,-0.001015784451738
2.5000000000000004,7,-0.0012394677614793181
2.5000000000000004,8,-0.0006736802170053124
2.5000000000000004,9,-0.0006210494902916253
2.5000000000000004,1,0.014981561340391636
2.5000000000000004,2,0.004389478825032711
2.5000000000000004,3,0.0006131599075160921
2.5000000000000004,4,-0.002215786138549447
2.5000000000000004,5,-0.004623682703822851
2.5000000000000004,6,-0.006623677909374237
2.5000000000000004,7,-0.006571045145392418
2.5000000000000004,8,-0.007057887967675924
2.5000000000000004,9,-0.008465781807899475
2.5000000000000004,1,0.018346058204770088
2.5000000000000004,2,0.009043415077030659
2.5000000000000004,3,0.003977638203650713
2.5000000000000004,4,-0.0010092105949297547
2.5000000000000004,5,-0.006140786688774824
2.5000000000000004,6,-0.008272363804280758
2.5000000000000004,7,-0.007667099591344595
2.5000000000000004,8,-0.010311850346624851
2.5000000000000004,9,-0.00999605841934681
2.5000000000000004,1,0.011132897809147835
2.5000000000000004,2,0.0031723715364933014
2.5000000000000004,3,0.0002644734922796488
2.5000000000000004,4,-0.00347236474044621
2.5000000000000004,5,-0.005788154434412718
2.5000000000000004,6,-0.005485521629452705
2.5000000000000004,7,-0.003630260471254587
2.5000000000000004,8,-0.005880257580429316
2.5000000000000004,9,-0.004603944253176451
2.6000000000000005,1,0.0010000005131587386
2.6000000000000005,2,-0.0005789472488686442
2.6000000000000005,3,-5.2630923164542764e-05
2.6000000000000005,4,4.7056299828929227e-11
2.6000000000000005,5,-0.0005789468414150178
2.6000000000000005,6,-0.000842104316689074
2.6000000000000005,7,-0.0010789460502564907
2.6000000000000005,8,-0.0008289459510706365
2.6000000000000005,9,-0.0008026299183256924
2.6000000000000005,1,-6.973709969315678e-05
2.6000000000000005,2,-0.0005828941939398646
2.6000000000000005,3,-0.0005828941357322037
2.6000000000000005,4,-8.289491961477324e-05
2.6000000000000005,5,0.00020657878485508263
2.6000000000000005,6,-9.605226659914479e-05
2.6000000000000005,7,-0.0006223672535270452
2.6000000000000005,8,-0.0005828934954479337
2.6000000000000005,9,-0.00035921059316024184
2.6000000000000005,1,0.001892110682092607
2.6000000000000005,2,-0.0004499988863244653
2.6000000000000005,3,-0.0009236816549673676
2.6000000000000005,4,-0.0009763128473423421
2.6000000000000005,5,-0.0010289427591487765
2.6000000000000005,6,-0.001015784451738
2.6000000000000005,7,-0.0012394677614793181
2.6000000000000005,8,-0.0006736802170053124
2.6000000000000005,9,-0.0006210494902916253
2.6000000000000005,1,0.014981561340391636
2.6000000000000005,2,0.004389478825032711
2.6000000000000005,3,0.0006131599075160921
2.6000000000000005,4,-0.002215786138549447
2.6000000000000005,5,-0.004623682703822851
2.6000000000000005,6,-0.006623677909374237
2.6000000000000005,7,-0.006571045145392418
2.6000000000000005,8,-0.007057887967675924
2.6000000000000005,9,-0.008465781807899475
2.6000000000000005,1,0.018346058204770088
2.6000000000000005,2,0.009043415077030659
2.6000000000000005,3,0.003977638203650713
2.6000000000000005,4,-0.0010092105949297547
2.6000000000000005,5,-0.006140786688774824
2.6000000000000005,6,-0.008272363804280758
2.6000000000000005,7,-0.007667099591344595
2.6000000000000005,8,-0.010311850346624851
2.6000000000000005,9,-0.00999605841934681
2.6000000000000005,1,0.011132897809147835
2.6000000000000005,2,0.0031723715364933014
2.6000000000000005,3,0.0002644734922796488
2.6000000000000005,4,-0.00347236474044621
2.6000000000000005,5,-0.005788154434412718
2.6000000000000005,6,-0.005485521629452705
2.6000000000000005,7,-0.003630260471254587
2.6000000000000005,8,-0.005880257580429316
2.6000000000000005,9,-0.004603944253176451
2.6000000000000005,1,0.013901308178901672
2.6000000000000005,2,0.004230262245982885
2.6000000000000005,3,-0.0007039468619041145
2.6000000000000005,4,-0.004243421368300915
2.6000000000000005,5,-0.005190789699554443
2.6000000000000005,6,-0.005822367966175079
2.6000000000000005,7,-0.006901314482092857
2.6000000000000005,8,-0.006453945301473141
2.6000000000000005,9,-0.008888154290616512
